番号,年代,時代,教,入試,できごと,暗記法,暗記法
112,1868,,A,5,五箇条の御誓文・五榜の掲示（明治維新）,ひとつやろうや(1868)五か条を,ひとつやろうや五か条を
113,1871,,A,2,ドイツ帝国の成立（ビスマルク）,いちばん泣い(1871)てるビスマルク,いちばん泣いてるビスマルク
114,1871,,A,5,廃藩置県,いわない(1871)よ、もう藩とは,いわないよ、もう藩とは
115,1871,,D,2,日清修好条規,いやない(1871)よ、不平等な内容は,いやないよ、不平等な内容は
116,1871,,B,4,岩倉具視の欧米使節団・津田梅子留学,いやな岩(1871)倉使節団,いやな岩倉使節団
117,1872,,A,1,福沢諭吉の『学問のすゝめ』,人は何(1872)求めて学問するの,人は何求めて学問するの
118,1872,,A,4,学制（義務教育）,人は何(1872)より教育だ,人は何より教育だ
119,1872,,A,1,鉄道が新橋～横浜間に開通,火花に(1872)なろう文明開化,火花になろう文明開化
120,1872,,E,2,富岡製糸場の設立（官営模範工場）,いやなに(1872)おいか製糸場,いやなにおいか製糸場
121,1873,,B,3,太陽暦,人花見(1873)する太陽暦,人花見する太陽暦
122,1873,,A,1,徴兵令→血税一揆,人はなみ(1873)だの徴兵令,人はなみだの徴兵令
123,1873,,A,2,地租改正,いやな3(1873)％の地租改正,いやな3％の地租改正
124,1874,,A,12,民撰議院設立建白書（板垣退助）⇒自由民権運動,民撰議院、いーはなし(1874),民撰議院、いーはなし
125,1875,,D,4,樺太・千島交換条約,いやな交(1875)換、樺太千島,いやな交換、樺太千島
126,1877,,A,2,西南戦争、地租が2.5％に,西郷どん、いやなな(1877)がれで負け戦,西郷どん、いやなながれで負け戦
127,1880,,C,1,国会期成同盟,人ははまる(1880)国会目指す同盟に,人ははまる国会目指す同盟に
128,1881,,B,1,国会開設の勅諭,人ははい(1881)という国会開設,人ははいという国会開設
129,1881,,A,2,自由党ができる（板垣退助）,人ヤバイ(1881)自由党,人ヤバイ自由党
130,1882,,B,2,立憲改進党ができる（大隈重信）,一番発(1882)言おだやかな改進党,一番発言おだやかな改進党
131,1883,,E,1,鹿鳴館で舞踏会、欧化政策,一晩やみ(1883)の舞踏会,一晩やみの舞踏会
132,1885,,B,5,内閣制度（伊藤博文）,いやや、こ(1885)の内閣は,いやや、この内閣は
133,1886,,E,1,ノルマントン号事件,いや、歯向(1886)かおう、治外法権,いや、歯向かおう、治外法権
134,1889,,A,8,大日本帝国憲法（伊藤博文）,いち早く(1889)できた、帝国憲法,いち早くできた、帝国憲法
135,1890,,A,8,第一回帝国議会,飛躍を(1890)誓う、帝国議会,飛躍を誓う、帝国議会
136,1890,,C,1,教育勅語の発布,朕いはく丸(1890)ごと君は国のもの,朕いはく丸ごと君は国のもの
137,1894,,A,5,領事裁判権の廃止,二つ白紙(1894)だ、治外法権,二つ白紙だ、治外法権
138,1894,,A,10,日清戦争（～18/95）,人は食うよ(1894)日清焼きそば,人は食うよ日清焼きそば
139,1895,,A,4,下関条約⇒三国干渉,二泊豪(1895)華な下関,二泊豪華な下関
140,1900,,A,1,義和団事件（北清事変）（～1901）,北京行く丸々(1900)囲む、義和団は,北京行く丸々囲む、義和団は
141,1901,,C,6,八幡製鉄所の操業開始,火くれいっ(1901)ぱい製鉄所,火くれいっぱい製鉄所
142,1902,,A,9,日英同盟（～1923）,日暮れに(1902)結んだ日英同盟,日暮れに結んだ日英同盟
143,1904,,A,7,日露戦争（～1905）,いくわよ(1904)日露戦争に,いくわよ日露戦争に
144,1905,,A,6,ポーツマス条約（小村寿太郎）,日暮れ豪(1905)華なポーツマス,日暮れ豪華なポーツマス
145,1910,,A,,韓国併合,行くと(1910)決めた、韓国併合,行くと決めた、韓国併合
146,1911,,A,6,関税自主権の回復（小村寿太郎）,ひどくいい(1911)ね！自主権回復,ひどくいいね！自主権回復
147,1911,,A,,辛亥革命（孫文）、翌年中華民国成立,行く日々(1911)楽しい、辛亥革命,行く日々楽しい、辛亥革命
148,1912,,B,7,護憲運動がおこる⇒桂太郎内閣退陣,行く人に(1912)人々加わる、護憲運動,行く人に人々加わる、護憲運動
149,1914,,A,13,第一次世界大戦（サラエボ事件）（～1918）,行く意志(1914)あると、世界大戦,行く意志あると、世界大戦
150,1915,,A,5,二十一か条の要求,遠くへ行こう(1915)、中国へ,遠くへ行こう、中国へ
151,1916,,A,2,吉野作造が民本主義を唱える,説く人論(1916)理的な民本主義,説く人論理的な民本主義
152,1917,,A,4,ロシア革命（レーニン）,低いいな(1917)賃金と、ロシア革命,低いいな賃金と、ロシア革命
153,1918,,A,8,シベリア出兵⇒米騒動⇒原敬の政党内閣成立,行く人は(1918)米屋を襲う米騒動,行く人は米屋を襲う米騒動
154,1919,,A,1,朝鮮で三・一独立運動,行く行く(1919)独立、三・一運動,行く行く独立、三・一運動
155,1919,,A,2,中国で五・四運動,行く行く(1919)抗議へ、五・四運動,行く行く抗議へ、五・四運動
156,1919,,A,3,パリ講和会議⇒ベルサイユ条約,行く行く(1919)みんなベルサイユ,行く行くみんなベルサイユ
157,1919,,D,,ワイマール憲法,低いく(1919)るしいくらしを正す、ワイマール,低いくるしいくらしを正す、ワイマール
158,1920,,A,8,国際連盟成立（ウィルソン）,平和で行くには(1920)国際連盟,平和で行くには国際連盟
159,1920,,E,2,第1回メーデー,ひどく無礼し(1920)な婦人めーでーたいか？,ひどく無礼しな婦人めーでーたいか？
160,1920,,E,1,新婦人協会（平塚らいてう）,ひどく無礼し(1920)な婦人めーでーたいか？,ひどく無礼しな婦人めーでーたいか？
161,1921,,A,5,ワシントン会議（～1922）、日英同盟の廃止,二級にい(1921)たいが、主力艦制限,二級にいたいが、主力艦制限
162,1922,,B,,ソビエト社会主義共和国連邦成立,ひどく普通(1922)になるソビエト連邦,ひどく普通になるソビエト連邦
163,1922,,A,3,全国水平社結成,ひどく普通(1922)の扱いを求める水平社,ひどく普通の扱いを求める水平社
164,1923,,A,1,関東大震災,いー国さ(1923)、地震なければ,いー国さ、地震なければ
165,1925,,A,5,普通選挙法,選挙に行く25(1925)歳の男たち,選挙に行く25歳の男たち
166,1925,,A,7,治安維持法,社会主義者引く都合(1925)で、治安維持法,社会主義者引く都合で、治安維持法
167,1925,,B,7,ラジオ放送,ひどくにっこ(1925)り、ラジオ放送,ひどくにっこり、ラジオ放送
168,1929,,A,8,世界恐慌,特にく(1929)るしい世界恐慌,特にくるしい世界恐慌
169,1931,,A,7,満州事変（柳条湖事件）,軍部独裁(1931)への道、満州事変,軍部独裁への道、満州事変
170,1932,,A,8,五・一五事件⇒政党政治が終わる,いくさに(1932)つながる五・一五,いくさにつながる五・一五
171,1933,,A,5,国際連盟脱退,引くささ(1933)っそく連盟脱退,引くささっそく連盟脱退
172,1933,,B,2,アメリカでニューディール政策開始,行くさみ(1933)んなでダム工事,行くさみんなでダム工事
173,1936,,A,2,二・二六事件,ひどく寒(1936)かった二・二六,ひどく寒かった二・二六
174,1937,,A,6,日中戦争（盧溝橋事件）,いくさな(1937)がひく、日中戦争,いくさながひく、日中戦争
175,1938,,A,4,国家総動員法,いくさや(1938)るため総動員,いくさやるため総動員
176,1939,,A,3,第二次世界大戦、ドイツのポーランド侵攻,いくさ急(1939)だよ、ドイツ軍,いくさ急だよ、ドイツ軍
177,1940,,A,5,日独伊三国同盟,行くよお(1940)れたち、日独伊,行くよおれたち、日独伊
178,1941,,A,1,太平洋戦争（～1945）,行くよ二(1941)気に真珠湾,行くよ二気に真珠湾
179,1945,,A,7,ポツダム宣言受諾（第二次世界大戦が終わる）,ひどくよご(1945)れて敗戦だ,ひどくよごれて敗戦だ
180,1945,,B,8,財閥解体,行くよこ(1945)っぱみじんに解体だ,行くよこっぱみじんに解体だ
181,1945,,A,4,国際連合発足,行くよ国(1945)連、ニューヨーク,行くよ国連、ニューヨーク
182,1946,,C,6,農地改革,ひどくよろ(1946)こぶ小作人,ひどくよろこぶ小作人
183,1946,,E,4,女性を含む最初の衆議院議員選挙,行くよ無(1946)論、選挙に婦人たち,行くよ無論、選挙に婦人たち
184,1946,,B,3,日本国憲法の公布,行く進路(1946)示す、新憲法,行く進路示す、新憲法
185,1947,,B,3,教育基本法・学校教育法の制定,行くよな(1947)みんな中学校,行くよなみんな中学校
186,1949,,A,2,中華人民共和国成立（毛沢東）,行くよ急(1949)に中国へ,行くよ急に中国へ
187,1949,,B,2,湯川秀樹がノーベル賞を受賞,ひどくよく(1949)なったノーベル賞,ひどくよくなったノーベル賞
188,1950,,A,11,朝鮮戦争（～1953）⇒特需景気、警察予備隊,ひどくこまる(1950)よ、朝鮮戦争,ひどくこまるよ、朝鮮戦争
189,1951,,A,16,サンフランシスコ平和条約,ひどく強引(1951)な平和条約,ひどく強引な平和条約
190,1951,,A,3,日米安全保障条約,ひどく強引(1951)日米安保,ひどく強引日米安保
191,1953,,A,,テレビ放送の開始,ひどくコミュ(1953)強いテレビ放送,ひどくコミュ強いテレビ放送
192,1955,,A,8,高度経済成長が始まる（～73）・家電の普及,いくぞゴーゴー(1955)高度成長,いくぞゴーゴー高度成長
193,1955,,A,4,アジア・アフリカ会議,いくぞゴーゴー(1955)バンドン会議,いくぞゴーゴーバンドン会議
194,1956,,A,5,日ソ共同宣言（ソ連と国交回復）,ソ連に行くころ(1956)だ,ソ連に行くころだ
195,1956,,B,5,日本の国際連合加盟,国連に行くころ(1956)だ,国連に行くころだ
196,1960,,A,2,日米安全保障条約改定⇒安保闘争,ひどく群れ(1960)なす安保闘争,ひどく群れなす安保闘争
197,1960,,E,2,所得倍増計画,ひどくロマン(1960)ある所得倍増,ひどくロマンある所得倍増
198,1964,,A,10,東京オリンピック,一苦労し(1964)て五輪開催,一苦労して五輪開催
199,1964,,A,10,東海道新幹線開通,一苦労し(1964)て新幹線開通,一苦労して新幹線開通
200,1965,,A,5,日韓基本条約（韓国と国交回復）,人組む幸(1965)福、日韓条約,人組む幸福、日韓条約
201,1965,,A,3,ベトナム戦争本格化（～1975）,ひどくむご(1965)いベトナム戦争,ひどくむごいベトナム戦争
202,1967,,C,4,公害対策基本法の制定,ひどくむな(1967)しい公害病,ひどくむなしい公害病
203,1968,,D,5,日本がGNP第2位,一苦労や(1968)ったGNP2位,一苦労やったGNP2位
204,1972,,A,12,沖縄の日本復帰,行くぞ夏(1972)の沖縄へ,行くぞ夏の沖縄へ
205,1972,,A,10,日中共同声明（日中国交正常化）,ひどくなつ(1972)かしい共同声明,ひどくなつかしい共同声明
206,1973,,A,12,石油危機⇒高度経済成長が終わる,引く波(1973)のように景気が悪くなる,引く波のように景気が悪くなる
207,1978,,A,6,日中平和友好条約,ビッグなパ(1978)ンダで日中友好,ビッグなパンダで日中友好
208,1985,,D,2,男女雇用機会均等法の制定⇒翌年、施行,行くわ雇(1985)用を均等に,行くわ雇用を均等に
209,1986,,B,6,バブル経済が始まる（～1990）,人くやむ(1986)結果になるバブル経済,人くやむ結果になるバブル経済
210,1989,,B,4,マルタ会談⇒冷戦終結,行く約(1989)束守って、冷戦終結,行く約束守って、冷戦終結
211,1989,,C,4,ベルリンの壁崩壊,行くわく(1989)ずしにベルリンの壁,行くわくずしにベルリンの壁
212,1990,,A,8,東西ドイツ統一,ひとつにくくれ(1990)ドイツ統一,ひとつにくくれドイツ統一
213,1990,,B,3,バブル経済崩壊⇒平成不況,低く丸(1990)ごと株価暴落,低く丸ごと株価暴落
214,1991,,B,2,湾岸戦争,低く飛(1991)行するミサイル、湾岸戦争,低く飛行するミサイル、湾岸戦争
215,1991,,A,1,ソ連解体⇒独立国家共同体成立,ひどく悔い(1991)残るソ連解体,ひどく悔い残るソ連解体
216,1992,,B,3,PKO協力法,行く国(1992)カンボジア、PKO,行く国カンボジア、PKO
